Description,Category,Categories
pgovernment ha launched zambia national oxygen strategic plan 2022 8211 2026 oxygen pressure swing absorption plant kitwe teaching hospital kth project funded sweedish government united nation children8217s emergency fund unicef total cost 16 billion speaking launch ministerp pthe post hrefhttpsflavaradioandtvcomgovtlaunchesnationaloxygenstrategicplangovt launch national oxygen strategic plana first appeared hrefhttpsflavaradioandtvcomflava radio tvap,politics,"politics, health and wellness"
psome applicant national pension scheme partial withdrawal kitwe district lamented tedious procedure undergo access fund applicant spoke flava news say spending night queue arrive napsa office ecl mall early asp pthe post hrefhttpsflavaradioandtvcomnapsapartialwithdrawalbeneficiariesinkitwebemoancumbersomeprocessesnapsa partial withdrawal beneficiary kitwe bemoan cumbersome processesa first appeared hrefhttpsflavaradioandtvcomflava radio tvap,technology,uncategorized
president mulenga compound kitwe’s ndeke ward called government expeditiously address water supply challenge mulenga clinic resident spoke flava news complained clinic ha running water month situation ha become problematic patient state itp pthe post hrefhttpsflavaradioandtvcommulengacompoundresidentsbemoanlackofwaterattheclinicmulenga compound resident bemoan lack water clinica first appeared hrefhttpsflavaradioandtvcomflava radio tvap,politics,politics
pbeautiful gate zambia nongovernmental organisation advocate welfare street kid ha expressed dismay rising number street kid kitwe organisation executive director bill kaping’a tell flava news disturbing learn people involved illegal mining taken advantage vulnerablep pthe post hrefhttpsflavaradioandtvcomexploitationofstreetkidsinminingareasworriesbeautifulgatesexploitation street kid mining area worry beautiful gatesa first appeared hrefhttpsflavaradioandtvcomflava radio tvap,politics,politics
pkitwe mayor mpasa mwaya ha called participation citizen social group implementation decentralization local developmentspeaking commemoration africa day decentralization mwaya say day offer opportunity discus challenge state facing implementation devolution local development recognizesp pthe post hrefhttpsflavaradioandtvcomkitwemayorcallsforcitizenparticipationintheimplementationofdecentralizationkitwe mayor call citizen participation implementation decentralizationa first appeared hrefhttpsflavaradioandtvcomflava radio tvap,local news,"development, career, local news"
pget touch location 3rd floor kitwe main post office zambia phone 260 212 233 877 260 955 000 877 email marketingflavaradioandtvcom newsroomflavaradioandtvcom let’s talkp pthe post hrefhttpsflavaradioandtvcomcontactuscontact usa first appeared hrefhttpsflavaradioandtvcomflava radio tvap,business,economy news
zambia revenue authority zra ha recovered one million four hundred ninetythree thousand kwacha stephane mining import export limited evaded tax case come economic financial crime court kitwe sentenced convicted stephane mining import export limited offence making false representation contrary,economy,economy news
department immigration copperbelt yesterday apprehended 111 suspected illegal immigrant cleanup operation operation wa executed simultaneously ndola kitwe chililabombwe chingola mufulira mokambo border luanshya 0530 1630 hour immigration public relation officer namati nshinka say total 90 suspect different nationality including burundian congolese,technology,uncategorized
president hakainde hichilema say government still working formula reduce price mealie meal fuel mr hichilema say government working day night ensure two commodity reduced speaking met clergy copperbelt province kitwe today mr hichilema said government,politics,"politics, career"
kitwe city council kcc ha dispelled assertion process grabbing rebuilding relocating 200 marketer chisokone market report circulating regarding relocation trader demolition makeshift shop frontage chisokone market council public relation manager mwaka nakweti,business,"development, local news, economy news"
currently career opportunity following field vac20240019 technician electrical grade cec 9 contract type permanent location kitwe role responsible undertaking installation maintenance repair metering equipment test instrument order ensure correct operation metering infrastructure position report,technology,"development, career"
currently career opportunity following field vac20240017 park amp garden assistant grade cec 10 contract type permanent location kitwe role responsible assisting implementation activity related routine landscape maintenance ground company premise weed vegetation control waste collection drainage,business,"career, business news"
currently career opportunity following field vac20240018 technician mechanical grade cec 9 contract type permanent location kitwe role responsible carrying mechanical maintenance work installation repair range mechanical fixed plant equipment effective efficient costeffective manner ensure sustenance,technology,career
currently career opportunity following field vac20240016 capex engineer grade cec 6 contract type permanent location kitwe role responsible coordinating monitoring review evaluating implementation company capex program successful candidate undertake project management assignment directorate position report,business,"career, business news"
currently career opportunity following field vac20240020 engineer scada grade cec 6 contract type permanent location kitwe role responsible providing efficient reliable effective scada network planning designing directing implementing conditionbased maintenance repair scada equipmentfacilities vital continuous,other,career
currently career opportunity following field vac20240021 driver ii grade cec 10 contract type permanent location kitwe role responsible driving assigned company vehicle order transport authorized personnel freight andor various worksites location timely safe courteous manner key,business,"career, business news"
financial indicator asset manager hilton fulele commented pleased report performance cec renewables half year period ending june 2024 year ha landmark period company marked significant achievement milestone renewable energy generation journey result achieved reflect,business,business news
currently career opportunity following field vac20240010 security officer grade cec 10 contract type permanent location kitwe successful candidate required perform range security duty surveillance access security control motor vehicle tracking monitoring security electronic system order ensure,other,career
currently career opportunity following field vac20240006 technician civil maintenance grade cec 9 contract type permanent location kitwe role responsible undertaking implementing activity onsite construction maintenance work performing activity machining fabrication joinery tiling roofing etc conjunction subordinate,technology,"development, career"
grade cec6 contract type permanent location kitwe cec invite application suitably qualified innovative individual take position engineer software development role ensures developed system delivered implemented accordance development standard system governance framework role includes design development testing maintenance,technology,"development, career"
copperbelt energy corporation plc cec handed refurbished luntembwe paediatric ward newly constructed intensive care unit icu kitwe teaching hospital government republic zambia saturday july 6 2024 modernised ward newly created icu costing seven million kwacha improve delivery healthcare service,politics,"politics, health and wellness, business news"
lusaka zambia june 21 2024 cec renewables subsidiary copperbelt energy corporation plc cec pleased announce first green bond coupon payment usd 24 million first coupon payment mark bond’s sixth month anniversary make tradeable lusaka security exchange milestone payment,other,business news
grade cec7 contract type permanent location kitwe job holder required provide effective efficient human resource information system hris support hr operational support coordination order help management make decision according company’s human resourcedocumented information job holder reporting manager,business,"career, business news"
grade cec9 contract type permanent location kitwe role responsible carrying repair maintenance calibration various electronic instrument ensure sound operating condition job holder reporting supervisor – power plant instrumentation key accountability undertake preventative maintenance gas,other,career
grade cec9 contract type permanent location kitwe role responsible providing routine transactional supply service support replenishing storing maintaining issuing item material meet company requirement job holder reporting advisor – warehouse amp inventory control key accountability issue good material supply consignment,business,"career, business news"
13th january 2024 lusaka – zambia debut green bond ha successfully listed lusaka security exchange luse marking significant milestone achieved cec’s subsidiary cec renewables ltd achievement set play pivotal role driving development renewable energy within country,other,development
currently career opportunity health safety environment amp community liaison officer x1 contract type fixed term contract job location kitwe role critical ensuring compliance zambian law environmental management social safeguard occupational health safety ifc performance standard environmental social sustainability world bank,health,"health and wellness, career, local news"
copperbelt energy corporation cec ha taken significant stride towards sustainable operation successful commissioning 60megawatt itimpi solar photovoltaic power station garneton kitwe held wednesday 10th april 2024 plant wa unveiled president republic zambia mr hakainde hichilema along dignitary stakeholder,local news,"politics, business news"
pleased great progress made year several front achieving notable progress sustainability priority settling remaining historical risk continuing consolidation drc business wa centre milestone achieved year confident agility,business,business news
notice hereby given twentysixth annual general meeting agm member copperbelt energy corporation plc held virtually corpserve eagm platform whose link provided “notes” physically cec raven country club thursday 28th march 2024 commencing 1000 hour transact business,business,business news
managing director owen silavwe commented “i thrilled present strong business performance 2023 group ha continued make progress delivery strategic priority steadily translate value stakeholder evidenced key performance statistic presented herein continue deliver operational,business,business news
invite application suitably qualified innovative individual take position technician electrical based kitwe successful candidate required carry regular way leave patrol order inspect determine condition company transmission line ancillary equipment effective,business,"career, business news"
grade cec5 contract type permanent location kitwe role responsible driving digital innovation automation digitalisation software development serf bridge business requirement technology solution collaborate various department create digital transformation strategy design data analytics tool evaluate emerging technology procure specialised software application,business,"development, business news"
grade cec6 contract type permanent location kitwe job holder required ensure organisational alignment regulation standard best practice data protection operational integrity role includes proactive identification resolution cyber issue postincident analysis driving digital landscape improvement additionally job holder play,other,career
grade cec6 contract type permanent location kitwe role responsible creating highperformance culture providing talent development initiative companywide learning amp development plan facilitating effective performance management system addition role ensure talent development plan initiative linked fulfilment,business,"education, development, business news"
grade cec6 contract type permanent location kitwe role required perform variety hr operational administrative function includes implementation hr plan policy procedure departmental level proactive engagement various unit business ensure effective efficient delivery hr solution,politics,"politics, business news"
grade cec5 contract type permanent location kitwe role responsible overseeing daytoday hr operation successful execution hr plan process aligned departmental overall company strategy whilst driving efficient optimal employee experience job holder reporting chief,business,"career, business news"
invite application suitably qualified innovative individual take position creditor accountant based kitwe successful candidate required review process prepare payment good service supplied company reconcile supplies’ account regular basis well preparing,business,"career, business news"
career opportunity invite application suitably qualified innovative individual take position creative amp graphic designer based kitwe successful candidate responsible creating aesthetically pleasing visual audio content cec responsibility include defining requirement visualising creating graphic including illustration logo layout,fashion,"fashion, career"
grade cec4 contract type permanent location kitwe role responsible planning driving communication effort organisation public keep informed company development view maintaining building positive image company job holder responsible communicating new development,business,"development, career, business news"
grade cec10 contract type permanent location kitwe job holder required perform range security duty surveillance access security control motor vehicle tracking monitoring security electronic system order ensure security company property role reporting senior security officer,business,"career, business news"
career opportunity invite application suitably qualified innovative individual take position drafter civilmechanical based kitwe successful candidate required design produce civil architectural structural steelwork amp concrete mechanical drawing facilitate construction fabrication maintenance company infrastructure engineering,business,"development, career, business news"
career opportunity invite application suitably qualified innovative individual take position artisan electrical based kitwe successful candidate required carry electrical maintenance repair installation electrical equipment 380v supply role reporting supervisor – electrical,technology,career
career opportunity invite application suitably qualified innovative individual take position laboratory analyst based kitwe successful candidate required perform range laboratory analytical activity including oil testing sampling routine testing plant equipment facilitate condition based maintenance,technology,career
14th june 2023 lubumbashi zambia – copperbelt energy corporation plc cec ha emphasized need coordinated effort transition green energy source managing director mr owen silavwe stated today sponsor interview session panel discussion ongoing drc mining week company aware rising energy,business,business news
notice hereby given extraordinary general meeting egm member copperbelt energy corporation plc held virtually httpseagmcregcozweagmloginaspx 1000 hour monday 5th june 2023 transact following special business call order call order taking proxy announcement concerning quorum attendance amendment,business,business news
notice hereby given extraordinary general meeting egm member copperbelt energy corporation plc held virtually httpseagmcregcozweagmloginaspx 1000 hour monday 5th june 2023 transact following special business call order call order taking proxy announcement concerning quorum attendance amendment,business,business news
cec renewables limited ‘cec renewables’’ subsidiary cec group attainment clean energy operation driven global zambian energy transition agenda generation consumption power clean source solar wind battery storage attained career opportunity currently career,other,career
cec renewables limited ‘cec renewables’’ subsidiary cec group attainment clean energy operation driven global zambian energy transition agenda generation consumption power clean source solar wind battery storage attained career opportunity currently career,other,career
copperbelt energy corporation cec ha received excellence award engineering institute zambia eiz ongoing eiz annual conference held livingstone 20th – 22nd april 2023 award recognition company’s contribution engineering innovation engineering procurement construction epc project,entertainment,"development, business news"
notice hereby given twentyfifth annual general meeting agm member copperbelt energy corporation plc held virtually httpseagmcregcozweagmloginaspx 1000 hour thursday 27th april 2023 transact following business 1 adoption minute consider adopt minute twentyfourth annual general meeting held,business,business news
currently career opportunity following field coordinator safety 01 grade cec7 contract type permanent location kitwe provide inspection advisory service aspect occupational health safety order effectively promote safe working condition around workplace cec key accountability ensure day day,health,"health and wellness, career"
currently career opportunity following field trade advisor 01 grade cec6 contract type permanent location kitwe role responsible daytoday operation power market including market coupling technological development market platform product service forecasting planning advising power trader,business,"development, career, economy news"
currently career opportunity following field engineer network development 01 grade cec6 contract type permanent location kitwe job holder responsible supporting new customer cec network focus technical aspect determine network requirement future investment cec network,business,"development, career, business news"
currently career opportunity following field engineer business development 01 grade cec6 contract type permanent location kitwe job holder responsible coordinating onboarding new customer cec network determine network requirement future investment cec network regional network,business,"development, career, local news, business news"
currently career opportunity following field energy statistician 01 grade cec6 contract type permanent location kitwe role responsible customer billing involves collection analysing processing timely accurate energy sale data billing informational reporting purpose role also responsible preparing fitforpurpose,other,career
currently career opportunity following field 1 energy planner 01 grade cec6 contract type permanent location kitwe role responsible short longrange customer demand forecasting development befitting short long range energy sourcing plan respect cec’s power purchase support customer demand,other,"development, career"
cec lady celebration international women’s day made donation school shoe child riverain combined school kitwe zambia donation wa motivated empathy cec lady child walk school barefooted barely covered foot dangerous unsanitary cec lady believe education important thing given child improving education opportunity catalyst better life individual community society large donation school shoe one many social impact initiative cec lady participated give back community around better quality life needy vulnerable,education,"education, career, local news"
copperbelt energy corporation plc “cec” “the group” pleased inform shareholder general public ha incorporated subsidiary cec renewables limited “cec renewables” wholly owned cec renewables part cec group since 28th october 2022 responsible driving group’s development integration renewable,other,"development, business news"
speech delivered board chairman copperbelt energy corporation plc mr london mwafulilwa commissioning 33mw riverside solar pv power plantwednesday 15th february 2023 mr president singular honour privilege welcome copperbelt energy corporation kitwe hosting company today sharing,business,"politics, business news"
chairman noncore asset member executive management team chairman muz branch executive member fellow cec employee lady gentleman take pleasure joining today officially launch longawaited futsal facility raven country club ground company’s commitment health social wellbeing,sports,"health and wellness, business news"
power dynamo football club flag bearer cec’s social investment ha unveiled new kit 20222023 season umbro kit unveiling 5th january held kitwe’s garden court hotel pdfc club president benny simukoko said properly dressed team wa important club’s quest consistently topnotch,sports,"sports, politics, business news"
60 year reliably supplying power supply mining industry mainly anchored hydrogenerated power copperbelt energy corporation plc cec pursuing diversified frontier electricity generation focus newer cleaner greener source creating sustainable future commercial power supply significantly challenging requires many,local news,"local news, business news"
cec ha third time four year recognized outstanding corporate year kitwe district alongside corporate recognition managing director owen silavwe ha bestowed honour business executive year award presentation ceremony kitwe amp district chamber,entertainment,business news
part wide ranging crosscutting stakeholder engagement copperbelt energy corporation plc cec ha hosted representative civil society policy analysis research organization diverse group public interest body drew representation eleven 11 lusaka copperbelt based organization wa hosted cec two day enable,politics,"politics, business news"
invite application suitably qualified innovative individual take position advisor – public relation based head office kitwe successful candidate take active role effectively communicating company’s value proposition various stakeholder intended achieve understanding support,business,"career, business news"
kitwe august 17th 2022 would like welcome press briefing aimed updating team’s preparation upcoming season expectation season high last season aimed finish top four able play confederation african football caf,sports,sports
kitwe august 17th 2022 medium colleague would like welcome press briefing aimed updating various project company ha working onset would like say undoubtedly operating environment ha improved tremendously government making clear,politics,"politics, career, business news"
currently career opportunitiesto based head office kitwe following field 1 analyst – employee relation 01 grade cec7 contract type permanent location kitwe role coordinate facilitate implementation employee welfare programme company medical scheme administration provide guidance employee employee relation matter,business,"career, business news"
disclaimer following transcript owen silavwe’s appearance sunday interview aired znbc tv1 19 june 2022 general information used substitute specific professional advice cec accepts responsibility accuracy opinion information contained transcript unless,technology,uncategorized
currently career opportunity based head office kitwe following field 1 stock analyst 01 grade cec7 contract type permanent job holder responsible providing maintaining efficient effective perpetual inventory service stock take amp check company ensuring,business,"career, business news"
power dynamo football club “power” “pdfc” zambian football club based kitwe copperbelt province play football association zambia faz super division power dynamo ha topflight zambian football since start super division one alltime best zambian,sports,sports
currently career opportunity based head office kitwe following field 1 record management assistant 01 grade cec9 contract type permanent job holder responsible providing administrative organisational support towards discharge company’s record management function includes maintenance company,business,"career, business news"
notice hereby given twentyfourth annual general meeting agm member copperbelt energy corporation plc held virtually 1000 hour wednesday 27th april 2022 transact following business adoption minute consider adopt minute twentythird annual general meeting held friday 30th,business,business news
currently career opportunity based head office kitwe following field 1 electrician cec9 x2 job holder responsible repairing maintaining electrical system forming part gas turbine alternator plant optimize plant performance undertaking effective maintenance work hv,other,career
currently career opportunity based head office kitwe following field 1 supervisor – park garden cec7 x1 job holder responsible planning organizing implementing activity regarding routine landscape maintenance ground company premise maintenance includes weed vegetation control waste,business,"career, business news"
pursuant section 34a lusaka security exchange listing requirement “luse listing requirements” board director copperbelt energy corporation plc “cec” “the company” wish inform shareholder market company ha signed engineering procurement construction epc contract worth usd192 million sinohydro corporation zambia limited,business,"development, economy news, business news"
cec among key actor energy sector showcasing sustainable energy initiative ongoing 2021 energy week themed “sustainable energy key driver economic development zambia” undertaking ministry energy event designed sensitise public energy efficiency conservation locally available renewable,local news,"development, local news, economy news"
power dynamo football club ha unveiled special edition team kit 20212022 season occasion also marked commencement activity commemorate club’s golden jubilee power dynamo wa established 1971 amateur grassroots football team kitwe’s ndeke area employee copperbelt power company,sports,"sports, business news"
note ltifr safety measure showing manhours achieved without system based losttime injury cash ops cash generated operation net cash cash cash equivalent le debt milestone achievement iso certification iso 9001 quality management system iso 45001 occupational health safety management system iso 14001 environmental management system ceo,health,health and wellness
chance meeting cinderella night club turned kitwe’s wellrecognised resident dennis peter lifelong power dynamo football club pdfc supporter wa introduced bizwell phiri whose move lusaka tiger brought kitwe wa quickly introduced night club became favoured weekend spot many,sports,sports
renowned prowess pitch illustrious history began fifty year ago power dynamo football club stand one successful team zambian football name football legend roll tongue ease club’s glorious past come mind trophy,sports,sports
mining town kitwe dominated people work suit heavy boot protective equipment headgear mining never far mind people take work seriously intense pride part copperbelt thriving mining region ha dominated zambian economy many year,local news,"career, local news, economy news"
“we seen devastation virus brings family brother sister succumbing deadly disease case leaving child dependent behind” lamented managing director mr owen silavwe handed 20 bed mattress kitwe teaching hospital 25 june 2021,health,health and wellness
move decided outcome match wa typical north african football ploy quick exchange pass middle followed deep probing ball behind fullback sprinting wide player ball played box appear much venom goalkeeper blackwell chalwe,sports,sports
earlier decade peak mining activity copperbelt technology started improve new century wa uncommon see cloud noxious gas drifting across entire town gas chocking effect community kept mine alive labour,local news,local news
time wa colossus player could bring opposing defence knee singlehandedly mere presence doubled gate league match period five year wa unmatched star player generation peter kaumba stand one alltime great player,sports,uncategorized
meyton kaira glanced across field silent ndeke primary school football ground smile face faraway look eye told story man played part making history formed little football club using resource without,sports,"sports, education"
disclaimer following transcript qampa session made 23rd annual general meeting held 30 april 2021 may contain forwardlooking statement used substitute professional advice forwardlooking statement based information available time statement made andor management belief,other,uncategorized
notice hereby given twentythird annual general meeting agm member copperbelt energy corporation plc held friday 30th april 2021 1000 hour transact business set agm proceeding conducted online using designated platform detail shared,business,business news
currently following career opportunity based kitwe head office 1 legal officer reporting senior legal counsel job holder assist provision legal company secretarial service company subsidiary associated entity necessary protect cec’s legal,business,"career, business news"
world constant rapid change one thing remains little unchanged time state inequality female male gender commemorating international women’s day iwd environment rife disruption uncertainty loss arising covid19 pandemic brings fresh realization,other,uncategorized
year since wukwashi wa nzambi wa gifted indelible experience driving gate still evokes memory euphoria characterised monumental event despite stark difference throng crowd voice raised jubilation easy quiet play park observable movement,other,uncategorized
provide excerpt court order high court zambia defendant affected party unknown person public general take notice order dated 25th day september 2020 high court zambia ordered prohibited kitwe city council,local news,local news
director copperbelt energy corporation plc “cec” pleased announce release annual report year ended 31 december 2019 chairman’s statement pleased report company 2019 proved resilient character anchored solid business foundation continuing hard,business,business news
notice hereby given twentysecond annual general meeting agm member copperbelt energy corporation plc held 1000 hour wednesday 30th september 2020 agm proceeding conducted electronically via zoom call back telephone service detail shared member,other,business news
copperbelt energy corporation plc cec welcome discharge lusaka high court interim injunction granted 3 june 2020 zesco limited zecso konkola copper mine plc kcm cec following joint ex parte application two party zesco kcm applied court,technology,business news
copperbelt energy corporation plc cec wish notify customer stakeholder one positive case covid19 ha recorded among member staff operation head office kitwe also two case power dynamo football club sponsored cec result identified case,sports,"sports, business news"
sustainable development posit clean safe affordable energy must made available apart technical financial support awareness knowledge dissemination important implementation policy scheme renewable energy implementation successful people willing accept technology solar energy provide opportunity economic social,politics,"politics, development, career, economy news"
copperbelt province despite one smallest province zambia faced enormous deforestation forest degradation challenge attributable one densely populated province sad state natural environment ha caught cec’s eye consistent value company something,business,"narcotics, business news"
take notice copperbelt energy corporation plc ha obtained order injunction high court zambia dated 5th may 2020 stand 3605 kitwe – wayleave s277 extent 1496266 hectare stopping development interference referred land related downloads exparte order injunction diagram,other,"development, business news"
role copperbelt energy corporation plc cec currently ha career opportunity driver x2 job holder responsible driving assigned company vehicle order transport authorized personnel freight andor various worksites location timely safe courteous manner key accountability undertake comprehensive,business,"career, business news"
“vandalizing stealing electrical installation especially time country’s power generation distressed act sabotage strategic national assets” home affair minister mr stephen kampyongo ha declared hon kampyongo wa speaking cs morning received brandnew toyota hilux 4x4 4 wheeldrive single cab motor vehicle,politics,politics
“the innovative company year 2019 award” becomes latest accolade bestowed cec kitwe district chamber commerce industry kdcci first introduced chamber 2018 coveted award wa presented cec recognition demonstrated commitment creating innovative solution,entertainment,business news
1953 almost 11 year zambia gained political independence privatelyowned power utility called rhodesiacongo border power corporation wa born company wa primarily established operate interconnected grid copperbelt linking democratic republic congo drc support sourcing transmission supply power,politics,business news
newly appointed power dynamo football club “power” head coach mr guston mutobo ha assured club’s sponsor copperbelt energy corporation plc cec supporter would put shame would work hard turn around club’s dwindling fortune mutobo spoke introduction cec club supporters’ representative,sports,"sports, career, business news"
board director nigeria’s power generating company north south power company limited nsp ha visited cec appreciate learn company’s energy development trajectory former cec investee company nsp concessionaire shiroro hydroelectric plc one nigeria’s six electricity generating company emerged unbundling,business,"development, local news, business news"
copperbelt energy corporation plc cec managing director mr owen silavwe ha invited school university individual innovative solution idea come forward showcase company’s planned innovation hub hosted upcoming copperbelt investment expo ciex scheduled 24 29 june silavwe made call,business,"education, business news"
“computers indispensable tool largely digital society ha become inevitable many child possible acquire computer literacy meaningfully participate economy” word cec’s head – information technology telecom mr choolwe nalubamba implored young learner embrace technology,economy,economy news
cec hosted copperbelt province minister japhen mwakalombe official copperbelt administration minister’s delegation included permanent secretary mr bright nundwe kitwe district commissioner mr binwell mpundu held talk member cec board management team touring various facility installation kitwe’s head office central switching,politics,politics
copperbelt energy corporation plc cec partnership innovent sa ha awarded two solar photovoltaic pv project 20mw highly competitive international tender get fit zambia programme announcing tender award result friday 5th april press conference hosted ministry energy permanent secretary,entertainment,business news
note wa amendment agenda twentyfirst annual general meeting agm member copperbelt energy corporation plc held cec raven country club kitwe friday 29th march 2019 commencing 1000 hour provide amended 2018 annual report corrected,other,business news
notice hereby given twentyfirst annual general meeting agm member copperbelt energy corporation plc held cec raven country club kitwe friday 29th march 2019 commencing 1000 hour transact following business call order call order tabling proxy announcement concerning,business,business news
two two cec win top commerce industry award 2nd straight year 2nd year running cec ha recognized kitwe district’s “most outstanding corporate year” kitwe district chamber commerce industry kdcci cec overcame competition konkola copper mine plc sandvik barloworld bell,entertainment,business news
career opportunity currently career opportunity driver x1 role reporting supervisor – transport based kitwe head office drive assigned company vehicle transport authorized staff freight timely safe courteous manner key accountability expected,business,"career, business news"
dear investor stakeholder cec value view investor shareholder stakeholder feedback help u measure performance identify area improvement part ongoing commitment effective communication good corporate governance cec shareholder interested company,business,business news
previous article delved history zambia’s oldest private power utility outlined mandate primarily supply valueadded electricity powerrelated solution service mining company copperbelt province zambia katanga region democratic republic congo drc mining,business,"local news, business news"
copperbelt energy corporation plc cec proud hosted 2018 edition intercompany first aid competition held saturday 11th august 2018 arthur davy stadium kitwe competition wa held theme life precious help injured minister mine mineral development hon richard musukwa mp,politics,"politics, development, business news"
cec engineer technician collaborated team fifth year engineering student copperbelt university cbu design develop live solar power plant model intended use demonstration education purpose model wa first used caminex 2018 held june kitwe showgrounds project provided,sports,"education, fashion"
copperbelt energy corporation plc cec independent power transmission distribution company interest closely linked business zambia african region cec invite application suitably qualified innovative dynamic individual take position energy statistician based head office kitwe reporting,business,"career, local news, business news"
copperbelt energy corporation plc cec independent power transmission distribution company interest closely linked business zambia african region cec invite application suitably qualified innovative dynamic individual take position engineer – cyber security based head office kitwe reporting,business,"career, local news, business news"
copperbelt energy corporation plc cec independent power transmission distribution company interest closely linked business zambia african region cec invite application suitably qualified innovative dynamic individual take position engineer – protection based head office kitwe reporting,business,"career, local news, business news"
cec ha taken unprecedented four prize 2018 copperbelt agricultural mining industrial networking enterprise expo caminex closed kitwe yesterday company swept aside competition emerge first three category second one scooping second time many year top prize,business,"career, business news"
recent commissioning cec’s 1mw solar photovoltaic pv power plant ha rightly lauded monumental historical feat seamless collaboration local international expertise speaking project company’s chairman hanson sindowe aptly pointed long ago looked like idle unproductive land transformed,business,"local news, business news"
copperbelt energy corporation plc cec independent power transmission distribution company interest closely linked business zambia african region cec invite application suitably qualified innovative dynamic individual take position analyst – information technology based head office kitwe reporting,business,"career, local news, business news"
copperbelt energy corporation plc cec independent power transmission distribution company interest closely linked business zambia african region cec invite application suitably qualified innovative dynamic individual take position engineer – scada based head office kitwe reporting,business,"career, local news, business news"
